state,MAE_7,RMSE_7,temporal,mobility,vaccine,environment
Arkansas,0.079097,0.104811,0.082556,0.133716,0.307966,0.230403
Kansas,0.113365,0.188574,0.137916,0.174789,0.38245,0.260282
Colorado,0.203029,0.273721,0.128093,0.165939,0.330999,0.192454
Idaho,0.184575,0.312073,0.139372,0.160319,0.219449,0.223756
North Dakota,0.191814,0.365438,0.145292,0.237755,0.255276,0.237821
Pennsylvania,0.210809,0.392665,0.174478,0.2315,0.256886,0.22884
Ohio,0.213364,0.40887,0.175935,0.340026,0.269067,0.232542
Arizona,0.198339,0.415207,0.151644,0.194258,0.291471,0.264853
Montana,0.223509,0.457817,0.170026,0.110339,0.266587,0.207357
South Dakota,0.221017,0.469039,0.156463,0.143248,0.227299,0.222576
Delaware,0.260842,0.508674,0.163943,0.26417,0.339083,0.267818
Texas,0.296058,0.533452,0.371218,0.57522,0.270579,0.250155
Indiana,0.229121,0.543031,0.152087,0.267745,0.251053,0.229068
Iowa,0.245327,0.546673,0.143974,0.189958,0.252402,0.258492
Wyoming,0.251524,0.564471,0.162219,0.188773,0.228685,0.187334
New Jersey,0.226263,0.571531,0.17827,0.181107,0.276554,0.218902
West Virginia,0.294247,0.594381,0.147031,0.169493,0.206574,0.193861
Georgia,0.245778,0.598214,0.174114,0.309669,0.2386,0.206474
Minnesota,0.293246,0.618076,0.156405,0.223611,0.307697,0.213
Kentucky,0.302529,0.619083,0.176853,0.258415,0.265375,0.189078
Nebraska,0.252656,0.694425,0.145329,0.167987,0.272241,0.261961
Illinois,0.269597,0.733642,0.198265,0.229666,0.331542,0.241353
Mississippi,0.308484,0.737955,0.134523,0.195442,0.235162,0.250668
Wisconsin,0.220346,0.738193,0.144165,0.23056,0.255948,0.2392
Tennessee,0.36288,0.741143,0.179896,0.256938,0.19212,0.253168
Virginia,0.305598,0.741379,0.161215,0.45401,0.348611,0.219019
Utah,0.234774,0.74294,0.145036,0.177068,0.296292,0.250738
New Mexico,0.282806,0.762963,0.158437,0.136272,0.351367,0.179383
Maine,0.351246,0.775944,0.210857,0.199677,0.286231,0.171354
Oklahoma,0.29643,0.779853,0.155205,0.175269,0.267879,0.242888
California,0.311918,0.790786,0.626281,0.22654,0.301143,0.18452
Nevada,0.289742,0.833184,0.148698,0.150817,0.254219,0.188783
Massachusetts,0.285762,0.835477,0.16108,0.169904,0.36647,0.251888
Florida,0.341503,0.853043,0.437004,0.142744,0.245904,0.27218
Alabama,0.365618,0.854238,0.165532,0.176031,0.21483,0.213293
Connecticut,0.285129,0.862723,0.17278,0.200297,0.342134,0.16815
Michigan,0.405173,0.924251,0.218902,0.232654,0.24392,0.241803
Oregon,0.376109,0.948864,0.17872,0.179086,0.289376,0.220477
North Carolina,0.33939,0.956116,0.236396,0.288123,0.23632,0.212389
Louisiana,0.318599,0.965813,0.166949,0.166443,0.23969,0.252127
New Hampshire,0.376218,0.997812,0.181246,0.155684,0.329004,0.257905
Missouri,0.303029,1.006681,0.154556,0.270581,0.245104,0.225031
Maryland,0.340356,1.009268,0.169321,0.184958,0.312063,0.202506
Rhode Island,0.344728,1.111665,0.210046,0.176917,0.337597,0.237117
South Carolina,0.390328,1.121886,0.19866,0.16934,0.217499,0.189896
Washington,0.411061,1.133068,0.213529,0.140909,0.305187,0.21314
Alaska,0.44658,1.159836,0.217363,0.126191,0.229243,0.306302
Vermont,0.586752,1.283878,0.275173,0.131105,0.36675,0.262853
Hawaii,0.70161,1.495268,0.281514,0.207095,0.298769,0.297876